0	-22.799369217545873
1	-16.303478122014003
2	-16.303478122013978
3	-11.399684608772969
4	-11.399684608772946
5	-11.39968460877293
6	-11.399684608772917
7	-9.807587026482103
8	-6.495891095531919
9	-6.495891095531899
10	-4.903793513241081
11	-4.903793513241064
12	-4.903793513241039
13	-4.903793513241023
14	-8.587165802015836e-16
15	6.656632138015693e-16
16	1.698946424624161e-15
17	2.2747718890305374e-15
18	3.851990405414418e-15
19	7.759624795189123e-15
20	1.3049674788626223e-14
21	1.5406147873023062e-14
22	4.903793513241035
23	4.90379351324104
24	4.903793513241061
25	4.903793513241064
26	6.495891095531868
27	6.495891095531894
28	9.80758702648212
29	11.399684608772938
30	11.39968460877294
31	11.399684608772944
32	11.399684608772962
33	16.303478122014013
34	16.303478122014013
35	22.799369217545905
