# E0 N x NE mu
-0.290076698531 20 50.000000000000 5 3.535533905933
-0.296051154717 20 100.000000000000 5 5.000000000000
-0.298642739123 20 150.000000000000 5 6.123724356958
-0.300167942357 20 200.000000000000 5 7.071067811865
-0.301199307535 20 250.000000000000 5 7.905694150421
-0.301955304179 20 300.000000000000 5 8.660254037844
-0.302539562925 20 350.000000000000 5 9.354143466935
-0.303008328566 20 400.000000000000 5 10.000000000000
-0.303395083581 20 450.000000000000 5 10.606601717798
-0.303721154352 20 500.000000000000 5 11.180339887499
-0.304000848361 20 550.000000000000 5 11.726039399559
-0.304244166065 20 600.000000000000 5 12.247448713916
-0.304458334390 20 650.000000000000 5 12.747548783982
-0.304648720750 20 700.000000000000 5 13.228756555323
-0.304819407266 20 750.000000000000 5 13.693063937629
-0.304973559796 20 800.000000000000 5 14.142135623731
-0.305113676476 20 850.000000000000 5 14.577379737113
-0.305241757215 20 900.000000000000 5 15.000000000000
-0.305359426101 20 950.000000000000 5 15.411035007422
-0.305468016406 20 1000.000000000000 5 15.811388300842
-0.294472109488 40 50.000000000000 5 3.535533905933
-0.300405279019 40 100.000000000000 5 5.000000000000
-0.302976627737 40 150.000000000000 5 6.123724356958
-0.304491280457 40 200.000000000000 5 7.071067811865
-0.305516654027 40 250.000000000000 5 7.905694150421
-0.306269016326 40 300.000000000000 5 8.660254037844
-0.306850961109 40 350.000000000000 5 9.354143466935
-0.307318201099 40 400.000000000000 5 10.000000000000
-0.307703923326 40 450.000000000000 5 10.606601717798
-0.308029283447 40 500.000000000000 5 11.180339887499
-0.308308482715 40 550.000000000000 5 11.726039399559
-0.308551455190 40 600.000000000000 5 12.247448713916
-0.308765382763 40 650.000000000000 5 12.747548783982
-0.308955604113 40 700.000000000000 5 13.228756555323
-0.309126180559 40 750.000000000000 5 13.693063937629
-0.309280263498 40 800.000000000000 5 14.142135623731
-0.309420340294 40 850.000000000000 5 14.577379737113
-0.309548403882 40 900.000000000000 5 15.000000000000
-0.309666072651 40 950.000000000000 5 15.411035007422
-0.309774675497 40 1000.000000000000 5 15.811388300842
-0.295963691565 60 50.000000000000 5 3.535533905933
-0.301896397949 60 100.000000000000 5 5.000000000000
-0.304463855260 60 150.000000000000 5 6.123724356958
-0.305974916383 60 200.000000000000 5 7.071067811865
-0.306997422601 60 250.000000000000 5 7.905694150421
-0.307747559531 60 300.000000000000 5 8.660254037844
-0.308327780407 60 350.000000000000 5 9.354143466935
-0.308793672718 60 400.000000000000 5 10.000000000000
-0.309178330475 60 450.000000000000 5 10.606601717798
-0.309502840115 60 500.000000000000 5 11.180339887499
-0.309781352928 60 550.000000000000 5 11.726039399559
-0.310023765075 60 600.000000000000 5 12.247448713916
-0.310237231819 60 650.000000000000 5 12.747548783982
-0.310427070985 60 700.000000000000 5 13.228756555323
-0.310597328055 60 750.000000000000 5 13.693063937629
-0.310751142331 60 800.000000000000 5 14.142135623731
-0.310890991767 60 850.000000000000 5 14.577379737113
-0.311018862079 60 900.000000000000 5 15.000000000000
-0.311136365344 60 950.000000000000 5 15.411035007422
-0.311244826358 60 1000.000000000000 5 15.811388300842
-0.296710514108 80 50.000000000000 5 3.535533905933
-0.302645769030 80 100.000000000000 5 5.000000000000
-0.305213402805 80 150.000000000000 5 6.123724356958
-0.306723953833 80 200.000000000000 5 7.071067811865
-0.307745750886 80 250.000000000000 5 7.905694150421
-0.308495157239 80 300.000000000000 5 8.660254037844
-0.309074689923 80 350.000000000000 5 9.354143466935
-0.309539960338 80 400.000000000000 5 10.000000000000
-0.309924066213 80 450.000000000000 5 10.606601717798
-0.310248089494 80 500.000000000000 5 11.180339887499
-0.310526176402 80 550.000000000000 5 11.726039399559
-0.310768214639 80 600.000000000000 5 12.247448713916
-0.310981352811 80 650.000000000000 5 12.747548783982
-0.311170902888 80 700.000000000000 5 13.228756555323
-0.311340904864 80 750.000000000000 5 13.693063937629
-0.311494493448 80 800.000000000000 5 14.142135623731
-0.311634142642 80 850.000000000000 5 14.577379737113
-0.311761834832 80 900.000000000000 5 15.000000000000
-0.311879179376 80 950.000000000000 5 15.411035007422
-0.311987498146 80 1000.000000000000 5 15.811388300842
-0.297158639674 100 50.000000000000 5 3.535533905933
-0.303095773342 100 100.000000000000 5 5.000000000000
-0.305664014099 100 150.000000000000 5 6.123724356958
-0.307174741416 100 200.000000000000 5 7.071067811865
-0.308196509662 100 250.000000000000 5 7.905694150421
-0.308945784235 100 300.000000000000 5 8.660254037844
-0.309525135079 100 350.000000000000 5 9.354143466935
-0.309990201758 100 400.000000000000 5 10.000000000000
-0.310374098190 100 450.000000000000 5 10.606601717798
-0.310697915301 100 500.000000000000 5 11.180339887499
-0.310975803938 100 550.000000000000 5 11.726039399559
-0.311217655143 100 600.000000000000 5 12.247448713916
-0.311430618250 100 650.000000000000 5 12.747548783982
-0.311620005030 100 700.000000000000 5 13.228756555323
-0.311789855627 100 750.000000000000 5 13.693063937629
-0.311943304158 100 800.000000000000 5 14.142135623731
-0.312082823946 100 850.000000000000 5 14.577379737113
-0.312210396665 100 900.000000000000 5 15.000000000000
-0.312327630774 100 950.000000000000 5 15.411035007422
-0.312435847523 100 1000.000000000000 5 15.811388300842
-0.297457393870 120 50.000000000000 5 3.535533905933
-0.303395817624 120 100.000000000000 5 5.000000000000
-0.305964558395 120 150.000000000000 5 6.123724356958
-0.307475531233 120 200.000000000000 5 7.071067811865
-0.308497416888 120 250.000000000000 5 7.905694150421
-0.309246733032 120 300.000000000000 5 8.660254037844
-0.309826079203 120 350.000000000000 5 9.354143466935
